Date,Category,Description,Amount
2026-03-01,Food,Groceries,150.50
2026-03-02,Transport,Gas Station,45.00
2026-03-03,Entertainment,Movie Tickets,30.00
2026-03-05,Food,Restaurant,85.20
2026-03-08,Housing,Rent,1200.00
2026-03-10,Utilities,Electricity Bill,95.00
2026-03-12,Food,Coffee Shop,12.50
2026-03-15,Shopping,Clothing,120.00
2026-03-18,Transport,Uber,25.00
2026-03-20,Food,Groceries,110.00
2026-03-22,Entertainment,Streaming Service,15.99
2026-03-25,Health,Pharmacy,45.00
2026-03-28,Food,Restaurant,65.00
2026-03-30,Transport,Gas Station,50.00
